,answer
234,最近国庆放假在家，睡到自然醒（差不多八点多，上半夜这个点已经习惯），懒觉都睡不了，身为一个成年人的悲哀。起来洗漱完毕吃个早饭，看看微博，接下来考虑要不要出去晃悠，懒得出去基本一天在家看看书看看视频。
235,"手游系统策划～坐标广州
day1
7:00，第一次闹钟响，摁掉。
8:00，第二次闹钟响，摁掉。
8:20，第三次闹钟响，摁掉，噢不，得起床了。
8:23，起床，刷牙洗脸剃须换衣blabla。
8:40，出门，看邻居在不在，邻居在就一起拼车去地铁口，邻居不在就去搭公交。
8:50，等公交。
9:00，等地铁。
9:15，出地铁去公司等电梯。
9:20，打卡，拿早餐。不过9:20之后基本没早餐了，根据情况我在出门的时候会在路上买一点。如果是和邻居拼车的话能早点到（然而公司的早餐太菜了不是很想吃）
9:25～9:45，开电脑吃早饭、刷刷手机、看看工作安排。
9:45～10:30，处理小事情，比如浏览rtx的消息记录啦、确认隔夜程序大哥加班做完的功能啦、预备今日的工作内容啦什么的。
10:30～11:59，头脑比较清醒的时候，偏向做比较费脑子的事情，比如写策划案、优化案、或是编辑配置文件这种比较细心的工作。
12:00！午饭小哥开饭了～迅速穿越千山万水去排队，排队的时候刷刷手机、吹吹水。
12:10打到饭啦～公司伙食挺好的。
12:10～12:30开b站或者youku，边吃边看视频，最近看的比较多的是王老菊和15年的runningman。
12:30～12:50网速好就继续看视频，网速不好就刷知乎咯～
12:50～13:40午睡，基本能睡够
13:40～13:50刚睡醒有点懵逼，一般会先看看rtx有没有重要消息，没有就刷刷手机然后倒水or泡咖啡。（啊～速溶咖啡～只爱这一口～不过国庆回家我姨给了我一大包普洱，以后就泡茶喝好了）
13:50～15:00，这个时候做体力活比较好，比如玩游戏、提美术需求or拼界面，不太用脑子。
15:00～18:00脑力活动高峰期，也是最忙的时候，各种杂七杂八的事情要一起处理，多线程工作状态全开啦～不过当美术大大和程序大大不找我的时候，我就能听歌写策划案了，这时候是最爽的。
18:00～19:00，边吃晚饭边看视频（接中午，一般一天能看完一个节目）
19:00～20:00，上班，继续干没干完的活～顺便催一下ui出资源，八点ui就下班啦，今天不出明天就更忙啦。
20:00～21:00，加班，ui出了资源就去切图，没出就和程序大大探讨探讨人生，然后继续补策划案优化案补配置跑游戏玩游戏。
21:00～22:00，加班，整合工作内容，跑游戏，查漏补缺～
22:00，打卡下班，打的回家（有报销）～由于住在大学城，所以老是被拒载，不过在我的投诉之下，拒载情况有所改善（广州的旁友可以打96900投诉哦）
22:35回到家，开电脑开空调烧水打一局ow，根据是否拿到首胜来决定是否洗澡
22:45～23:10洗澡吹头
23:10～00:xx，玩游戏or看电影，玩游戏一般到24点，看电影的话根据电影长度以及精神状况决定总进度。
00:xx～01:30最多到一点半就睡啦～一般都是1点左右睡呢。
dayn=day1

（谢谢观赏～）"
236,"高三时，不忍回忆的生活
5:40起床
5:50早操
6:10早读
7:00下课吃饭
7:20-12:00上午课，中间课间5分钟
12:40午休
14:30起床
15:00-18:00下午课
18:20-21:40晚自习
22:00熄灯"
237,工作日每天6点一刻起床 打开广播 6点50出门 七点一刻到单位 打扫卫生 七点半到食堂吃早饭 8点开始工作。。。一直到晚上7点或者8点或者9点，回家以后，随便吃点儿，锻炼半个小时，打扫卫生40分钟，洗漱上床看知乎，12点准时闭眼。
238,"我觉得我可以用另一个回答代替――你可以懒到什么地步

以下复制粘贴
躺床上只穿睡衣
饿，挨着
饿，挨着
一天过去了
两天过去了
饿，受不了，爬起
刷牙洗澡吃外卖
吃完继续躺着，重复"
239,"安徽高二理科狗
5:30 起床
5:55 吃早饭
6:15 到班写作业
6:30 早读
7:50 每天的第一节课的开始
11:35 中午放学吃饭会寝室
12:20 上床看书/写作业
13:00 午觉
13:35 起床
14:10 下午的课程开始
17:45 下午放学吃饭
18:30 晚自习
22:00 放晚学
22:45 睡觉
每天重复 但其中也有小乐趣 高中嘛就是这样
最近刷微博看到千转的微博“说个伤心的事情你有多久没有十点之前睡觉了” 呵笑话我大天朝的高中生十点才下晚自习好吗我初中开始就没有十点之前睡过觉了啊图样图森破
不过伤脑筋啊感觉自己很努力但是成绩还是那样 不过还是努力努力努力 为一本努力"
240,"作为人口大省—河北省的一个高二理实的妹子，因为是住校生所以在学校的时间比较多，那我就说说我在学校的生活吧。
每天大概5:40起床，不到6:00去食堂吃饭，6:20左右能到班，但是我在班里一直都学不进去，6:45开始早读，然后就开始一天的学习。中午放学时间不是固定的，但基本上12:15能吃完饭，然后回宿舍给老妈打个电话，写会儿作业，12:45上床睡觉。下午大概13:40出宿舍楼，13:50开始午读。我们学校下午基本上是两节正课，一节限时训练，一节自习。17:45下课，和朋友去食堂吃晚饭，然后去超市和书店转转，18:25开始上一晚，20：20下一晚。20：30开始二晚，22：30下二晚。晚自习也没什么好说的，有时候作业少就复习或者预习，作业多就第二天早晨早点起床再写。23：00宿舍熄灯，我会先听一会儿电台再睡觉。美好的一天就结束啦♡
最后放一张学校的图"
241,字丑……饮食方面应该只适合自己吧，还有我是不太健康的高三狗，所以希望可以靠计划让身体更好
242,正常上班，11点左右睡觉。节假日反过来
243,"上班狗的日常
7:00，起床，洗脸刷牙，简单化妆
7:30，出门，走路五分钟到公交站，坐饼夹肉那种车
8:30 开始上班，工作相当无聊
12:00，出去吃个午饭，回来接着工作，因为工作性质，没有午睡时间，上学时养成的习惯 ，都没了，每天中午困得要死
18:30下班，坐车回家要四十分钟左右
19:30买菜做饭，吃完饭后，看一会手机，就该洗漱睡觉了
22:00准备睡觉，一般十一点之前今入梦乡。
另，作为一枚工作狗，深深觉得自己在耗费青春坐着毫无意义的工作，但是不工作又没钱吃喝，不知道该怎么办？ 每天都有小人在脑子里掐架。哎，擦干泪水，早点睡觉，明天得上班啊"
244,早上7点起床守摊，中午没有午休，一直到晚上7点上楼吃饭，洗漱完毕后玩手机到10点睡觉！！！（每天都是这样的日常真的很辛苦！！）
245,"作为一名大一新生
六点挣扎着起床虽然说总是会晚几分钟
六点半出门吃个早餐
六点五十上早自习读读英语打打瞌睡
七点半赶往下个教室，数学课的话就得冲了
上午有课上课，没课…学习 你信吗哈哈
吃午饭
小睡一会儿或者不知不觉时间就过了
下午或者上课或者看书或者玩手机或者做一点点作业或者去一下图书馆……
吃晚饭
玩手机闲聊斗地主……
洗澡洗衣服玩手机睡觉。。
期间偶尔觉得人生颓废，偶尔觉得TM课上的好快，偶尔觉得一定要放下手机！！偶尔觉得要成为一名有志青年！！偶尔思考一下人生的意义。。最后得出的结论总是人生好没有意思啊！！
放假的话就基本三件事的睡觉吃饭玩手机，再加上间歇性忧郁"
246,"传一波负能量
大学狗
早上七点几分：被室友呼唤而醒，懵逼三分钟，妈蛋头好痛，昨天晚上是被驴踢了才会凌晨三点睡？不想起床！！！不想上课！！！
八点：早读开始，刷一波手机。
八点四十：开始上课。睁眼三分钟马上被老师催眠成功。
11点多：最后一节课，开始和室友讨论中午吃什么，通常无果。
下午两点之前：躺床上玩手机打游戏。
两点之后：有课上课，没课接着葛优瘫。
五点左右：晚饭吃什么？？？？
七点晚自习：玩手机。
九点下课：回宿舍，在洗澡这个问题上挣扎两小时。
11点：熄灯，玩手机。
3点：昏睡过去。



别问我什么学校什么专业
别问我男生女生洗澡都能这么邋遢
别问……
大概以后我就是拖社会后腿，人均GDP的那一堆渣渣。。。。。"
247,醒来，躺着玩手机，饿了下床吃午饭，吃完饭上床玩手机，晚上觉得该吃饭了下床吃饭，然后洗澡，上床玩手机，困了，睡觉。
248,常 日
249,"早上七点半醒，然后赖赖床，去吃早餐……
吃完就葛优躺，一直玩手机玩电脑做手工，到午餐……
吃完午餐继续上午的，玩手机玩电脑或者睡觉，到吃晚饭……
晚餐吃完玩手机，睡觉……"
250,"初三住宿狗的日常
6：00起床
6：20下操场跑步
6：30早读
7：05去吃早餐
7：35回教室进行早上的复习啥的
8：05上课
然后一直到11：20去吃午饭
12：05打午睡铃 but我一般写作业到一点
1：50起床
然后就一直上课
4：45体育训练
跳绳变速跑巴拉巴拉
5：40吃晚饭然后跑宿舍洗澡洗头
6：20去教室学习
晚自习一就是写作业
晚自习二三就在上课
9：40下晚自习 我一般留在教室再做几道题
10：00吹哨 我一般开个台灯写到十一点
然后就睡觉了
一般半个月放一天假 十二天眼巴巴地倒数
星期五中午回家 星期六下午又要回学校上晚自习
现在的生活虽然很忙但是很充实
我觉得自己不够努力还要再努力一点
加油"
251,"7:00 醒 然后睡个回笼觉 这是为了等身体苏醒 必须做的
7:30 起床 叠被子 洗漱
8:00 吃饭
8:30-11:00 逛知乎 微博 b站 和父母侃大山
12:00 吃饭
12:30-16:00 逛知乎 微博 b站 和父母侃大山
16:00-18:00 洗澡然后出门遛弯
18:00-18:00 洗澡
18:30 吃饭
19：00-20:00逛知乎 微博 b站 和父母侃大山
20:30 睡觉
一天都很忙的耶 （大山：我好疼）"
252,"本人今年大二 在沈阳读大学 旅游管理专业
学弟学妹听我一句话劝...
大学生活...并非像你的初中高中老师说的那样...
大学并不是不用学习 随便玩
下面分享一下我的大学生活
想什么时候起床都可以，反正早上8:00 第一节课，一节课一个半小时，中间有十分钟的休息时间。但是大学的课表不是节节都有课，没课的时候，勤奋的孩子就可以选择去图书馆，像我这样比较随性（懒）..ರ_ರ的孩子就可以选择回寝室。
如果你中午吃饭前的时候没有课的话，那么万事大吉。但是！如果！你！有课！！！
那么恭喜你，你会见识到人山人海的食堂。
举着钱
“阿姨，我要一份至尊招牌铁板鸡腿饭。”
“阿姨！”
“阿姨！一份至尊招牌铁板鸡腿饭！”
“阿姨！一份鸡腿饭！！”
“阿姨！！”
“......”
下午第一节如果没有课的话，中午的时候我通常都是睡觉...没办法 秋困嘛
最后一节课17:20下课，又是买饭，回寝室。
我们学院呢，还有让人讨厌的晚自习。18:30-20:30
晚自习很让人讨厌的～
因为如果你哪天运气好，一下午都没有课的话，那完全可以跟室友或者自己出去玩啊。但是有了晚自习，就必须得在18:30之前赶回来。
不过好在大三的时候，就没有晚自习了。
下课晚自习，一天也差不多就结束了。
分享一个有趣的事
我们寝室是八人寝 有独立卫生间，就是洗手池和蹲坑都是在同一个空间里。
大家晚上都要洗漱嘛...
但是呢...
一旦有个拉肚子的或者那种...味道很大的室友要拉便便！！！！
我天！！！！！
全寝紧急预警！！！！
大家都飞一样的速度洗漱完毕哈哈哈！
我计算过...
最快的一次...
七个人...
在只有两个洗手池可以洗漱的条件下...
只用了十分钟...
就所有人都刷牙洗脸甚至有的人还泡脚完毕...
牛逼不...
其实吧 大学生活也很有意思
经历过的怀念 没经历过的期待吧
——————————不知道是啥的分割线—————————
这是我第一次回答(/ω＼)
以前只会看(｡･ω･｡)
以后尽量都多多回答\( •̀ω•́ )/
献丑了(*´ω｀*)"
253,"上班，上成傻逼。
下班，睡成死猪。"
254,大家都好早起床啊我一般都睡到8~9点大四狗，并且还打游戏。唉我一天都是无所事事的过，好羞愧啊
255,"说说国庆这几天吧。
起床，看剧，刷知乎，刷贴吧（循环N次），按照计划做作业，看剧，刷知乎，刷贴吧，睡觉。"
256,"起床
楼下买早餐
交班迟到，在楼道里吃早餐
查房
卧槽18床化验单还没有看等会主任问不是要死？假装上厕所，去看化验单
主任您别说方言我听不懂
查房完毕
抢电脑写病历
啊？要去手术(不要啊我要写病历啊)
站一上午(基本拉钩吸引，运气好缝两针)
中午吃饭，手术室的姐姐给我包饭又是鸡腿饭
准备午休，护士来喊我说带教让我把几个伤口换完 K
然后就是写病历写病历写病历
啊，天黑了
啊，要加班了
啊，点外卖了
啊？8床老头子又头痛？怎么一下班都开始不舒服？
下班
睡觉"
257,"每天在室友的闹铃中起床，洗漱，在路上吃好早餐到达教室。上午有三节课，但中途休息时间少之又少，老师讲解的时间反而多。下午两点半又是开始学习，直到五点半，中途有演讲时间，讲的是代码问题。六点半开始晚修，没休息时间，累了可以出去休息，看自己的自制。到了九点半回寝室睡觉，在路上买宵夜，然后在寝室看会代码，上床聊聊天刷刷微博看看知乎然后睡觉。
生命不息，生活不止"
258,"大二医学僧
if 开学
if 周一到周五
7:30起床-7:35去洗漱-7:55吃早饭-8:10到教 室-8:30上课-12:00下课去吃饭
if 下午有课
1:10午睡结束去教室上课-4:30下课
else
1:00午睡-4:00起床
去吃饭-上自习或者在寝室里浪费青春
endif
endif
if 周末
if 有约
行程多变
else
去上自习或者在寝室里浪费青春
endif
endif
endif
if 假期
浪啊~快活啊
endif
₍₍ (ง ˙ω˙)ว ⁾⁾"
259,"大三，国庆第一天失恋，描述一下这几天的生活
02：00 睡不着，失眠
02：30 哭醒
04：00 梦见他，又醒了
睡不着，防止眼睛肿，一直揉眼睛
睡不着，揉眼睛
睡不着，揉眼睛
06：30 天亮了，坐起来，看手机，没有消息，躺下，坐起来，躺下，坐起来...
08：00 起床吃早餐，吃了两口好想吐，趁爸妈不注意倒了
09：00 开始写作业。把手机放得很远。时不时发呆想他，眼泪快流出来时，与旁边高三的妹妹对视一下，又把眼泪咽回去
10：00 作业一个字没动，去阳台看风景，什么都不想，好受一些了
12：00 确认眼睛不肿之后，和爸妈吃饭，一点都吃不下还是逼着自己一口一口咽下去
13：00 午睡，睡不着，看手机，没消息。头痛。
13：30 醒来，头痛，看手机，消息。
14：00 写作业
15：30 去阳台盯着外面发呆
18：00 吃饭
晚上陪父母看电视。
22：00 父母睡了，终于可以哭一会儿了。
22：30 哭累了，一边揉眼睛，一边看美剧。又想哭，憋回去，或者跟妹妹说两句话，憋眼泪，不许哭。
24：00 关灯，和妹妹一起睡了。睡前看手机，没消息。跟她聊一下天，又哭了，她拍着我的背，不说话，用眼神鼓励我。
01：00 妹妹睡着了。我不准自己哭。
如此往复。
自己做到最好，却依然被最爱的人抛弃，觉得好难受。也觉得自己很幸运，有一个妹妹陪着。虽然她只是国庆这几天陪着我，过几天就回家。我也不知道她走了我怎么办。只想越来越好。这个世界那么大，怎么会碰不到一个真心的。愿所有的人都幸福。"
260,"5：45——6：30闹钟可以每10-20分钟的直到闹醒我为止。一般都是6：00以后才有醒的可能。最晚6：45必须出门否则就是一路狂奔。如果起的早还能在家煮包泡面。
7：00——7：45在德国不争气的火车上流着哈喇子点着头睡会觉，总是可以困的眼睛都睁不开。
7：45——8：00慢悠悠的收拾好我的东西，打开邮箱看看今天有没有什么预约，拿着自己的小水杯悠哉的到地下室拿水，顺路经过餐厅预定今天的食物，跟同事聊聊昨天干了啥，然后开始一天的工作。
8：00——12：15一上午都在电脑面前犯困，强忍着困意喝咖啡提神，忙的时候都还好，不忙的时候坐着真是煎熬。
12：15——13：15午餐和扯谈时间，跟一群德国男男女女老老少少侃大山。
13：15——16：45下午上班时间，刚吃了饭坐在电脑面前简直困的生不如死。咖啡也顶不住。熬到16:45可以收拾东西准备走人可。
17：00——17：45都是在路上在路上，顺路还得去超市买个菜，想想今天吃什么。
18：00或者18：30开始做饭，工作日大多数自己一个人，偶尔男朋友来家里一起吃饭，烦人的要死得做双份。已经累得葛优瘫了都还得做两份。大多数情况是忍不住就叫皮萨外卖或者楼下越南小炒店随便买点凑或吃。

最近在学驾照所以19：00开始得去上课，至于到几点我自己也不知道哈哈哈。就是个迷糊。

不上课的时候基本吃了饭抽根烟收拾完毕洗个澡电脑上Youtube看看电影啥的。有时候男朋友来可能晚上会去看看电影或者跟朋友一起吃吃饭。不过大多数情况工作日下都已经累得半死，如果不是要好朋友的生日或者比较重要的约会，都一般只想瘫死在家里。哈哈哈哈哈。
只想说德国上班真的好累啊。。。。。。。虽然一天八小时准时上下班，可是就是觉得工作量无休止的大大大大"
261,早上7点半起床，洗漱完毕8点多去食堂吃早饭，顺便刷个手机，9点前在图书馆开始看cpa。12点去食堂吃午饭，午睡一小时，下午看到5点吃晚饭。晚上8点回宿舍，开始网申，看毕设开题，11点半睡觉。这个十一都打算这么过。
262,闹钟6点半响，告诉自己要看书，实际上8点20起床。刷牙，慌慌张张出门买早餐一路小跑去公司打卡。吃早餐，做报表，看看微信热点，一上午过去了，下午写写公众号，发发呆呆一天过去了。晚上回去心情好做个饭不好吃外卖看看剧刷刷微博微信一天过去了，我可是要考试的人啊，你看就是这么堕落！
263,"早上八点起床。洗漱做早餐。九点十五做公交车准备上班。十点正式上班。上午看看书。刷刷手机。中午12点吃饭。下午一点上班。五点下班。回家。做晚饭。七点玩游戏。刷手机。墨迹会。12点睡觉。
下班也懒得出去。主要是也没啥朋友。天天单位家二点一线。每周休息一次。在家睡觉。真的可以躺床上一整天"
264,"9：00 洗漱健身准备上班
10：00-22：00上班时间 ,多数时间里在盯着电脑关注时事,看看天气什么的,毕竟是个种地的
23：00打游戏
凌晨2：00和小强聊聊
凌晨3：00回忆一下
凌晨4：30睡觉"
265,六点四十起床 跟狗狗打招呼 上厕所 洗脸刷牙 磨豆浆 煮稀饭加个鸡蛋 给狗狗喂一把狗粮 喂它一个蛋黄 我吃蛋白 七点二十化妆换衣服 七点四十五出门 八点到医院 换衣服 和同事调侃几句 交班 上班 每天按部就班 十一点半下班 带狗狗走廊上走走 做中餐 一点午睡 一点四十五起床 整理一下 上班 下午继续按部就班 五点半下班 吃饭 遛狗 八点半回家狗洗澡 我洗澡 看一会儿书 最近在看王朔的 致女儿书 十点刷刷手机 微博 朋友圈 思念一会会旧人 听郭老师相声睡觉 每天如此 单身的日常 不知道会持续多久 不过挺喜欢这种有规律的生活的
266,目前一枚大二狗 早上7.00起床，洗漱吃饭。8.00上课 11.30下课 吃午饭 然后回寝歇会 下午1.30上课 有时候课多上到4.45 课少就上到3点 5.15去体育馆训练 一直到晚上八点训练结束 然后吃晚饭 基本是看心情吃不吃晚饭 晚上一般9点左右到寝室 写写作业或者打几把2k 11点左右睡觉 每天最期待的应该就是训练的时候了 目前正在备战Cuba阳光组的比赛
267,"6:00 被室友的铃声吵醒
6:10 起床洗漱
6:30 吃早饭
6:40 打扫
7:00 下楼去教室
7:10 写作业 发呆
7:50 早自习下课 睡觉或者下楼去大课教室
8:00 上课
11:40 下课 吃饭
12:30 休息，能不能睡觉全看运气。
2:00 上课
3:40 下课
4:30 洗澡吃晚饭跑步
6:50 下楼上晚自习
9:00 下课
11:00 睡觉"
268,"工科大二狗，七点四十起床，洗漱早饭。
八点半到十二点忍着饥饿听着让人蒙蔽的离散数学什么的。
十二点去食堂抢饭.是！抢饭！
然后午休到两点零五，再去上下午有时一节有时两节的课。
上完课玩会手机吃完饭，然后去自习选修或者实验。
九点半去跑步。
回宿舍开始游戏追剧闲聊。十一点半上床，十二点半睡觉。
看似繁忙充实，其实也是无聊空虚，感觉在混日子，一学期下来只学会了学校安排的课程，还都是临考突击自学的，没啥效果。
计划中学习外语编程乐器都一直停留在计划中"
269,"县级市高二狗一只
实验文班
5.40起床
5.55离家乘坐校车
6.10到校 开始早自习
7.30到9.20第一节第二节
半个小时课间跑操
继续上课到11.30
20分钟内食堂解决午饭 回宿舍
11.55查寝 午睡到13.30
13.40从宿舍到教室开始学习
15.50课间半小时跑操
18.00吃饭 教室播放新闻联播
18.20开始上课
21.30离校
22.00到家
23.00睡觉"
270,"还用问。
跟昨天一样。"
271,"7点半起床 看看kk的英语推送 下床刷牙洗脸 出门坐地铁去上课。
9点打开课本上课 老师巴拉巴拉 我把上课状态分为三种
第一 完全都懂而且熟练 可以知道题目的考点 陷阱 题目的key word。这种状态一点不累效率高 状态好。要达到就要多做题 多看书 反复练习。
第二 会但是不熟练。最最累了 一边听课一般思考做题 中午饿死了！
第三 完全不会 这种状态一点都不累。
本人在第二种状态 三种状态都有体验。。
晚上18点下课 滚回学校就是我的国庆生活了
晚上背背单词 回忆白天课程。
其实也没什么 很多人都这样 只是他们不玩知乎 他们很优秀 就这样 吃饭了！"
272,"大学僧的日常？超级真实我就是这样婶儿的
六点四十 被室友无情打醒。
洗漱10分钟 包括拉粑粑 北方没有独立卫浴。
所以每天起床第一件事奔向洗手间抢位置。
穿衣服叠被子化妆 半个小时。
期间要听网易云日推。（我是寝室小电台啦啦）
七点二十蹦哒蹦哒下楼吃早饭。
吃饭二十分钟。
七点四十到教室占座。
盐后 残废非洲人开始刷阴阳师。
刷刷刷。时间过得很快的！
八点二十。
上课。
根据上课课程的不同。
我的活动也不太一样呢。
毛概 提前找一暖和的位置 碎觉觉。
英语 自己学自己的。呵呵我爱单词 单词爱我。
专业课 必须一二排。老湿声音太小（我耳聋吧可能）
选修课 看帅哥 玩手机 刷知乎 追剧 买买买
十二点
马德终于下课 饿死老娘。
食堂的饭菜简直不是人吃的。
外卖或粗去吃。二选一啦。
小仙女特别爱吃香锅。
尤其是香锅里的鸡血。
---------------------------------------------
有小宝贝看我再更。"
273,"大三医学狗一只
周一到周五每个早上都满课8:00-12:00
老师要是心情好点就早点下课直充食堂
下午暂时只有一二五有课
不过国庆回来就是一二三五了
都是下午2:30-5:00
中午回到宿舍精神好点就撸撸猫
国庆回来室友也要带回来另一个儿砸了
所以国庆后宿舍两只主子,想想就开心
要是前一天晚上睡太晚,而且下午上疾病机制实验或床技,那就必须爬上床睡一下
晚上没课,本来有日语课,可惜我并不感兴趣,退了日语选修,所以五个晚上自由支配啦,一般都是在宿舍复习整理今天学的~偶尔停下来撸撸猫或者做一下keep
周末有时候有宁养义工探访活动
现在每个星期过得都好快
大三课程最繁重,每天学的也挺充实的,就是觉得期末估计会复习崩溃
刚拿了二等奖奖学金
加油吧骚年"
274,"起床
开电脑
敲击键盘
吃饭的时候也在看着电脑
一天过去
关电脑
睡觉"
275,六点半起床七点二十以前吃早餐开始上班，然后到下午六点半吃晚餐中餐和小朋友一起吃，吃完晚饭领导有事就开会没事就回自己班上做环创，一直加班到十点多或者十一点回宿舍然后排队洗澡然后十二点以后最迟一点多睡觉。就这样一直重复重复在重复
276,"码农一天
7:30 在非常痛苦纠结中起床
8:00 到游泳池开始游泳～
8:40 游泳结束去公司路上买早餐
9:00 到公司煮咖啡
10:00 磨磨唧唧终于开始工作
12:00 下班和同事吃饭
14:00 磨磨唧唧又开始工作
18:00 和同事一起吃晚餐
19:00 磨磨唧唧开始消化工作时间
20:00 摸摸肚子消化完了，去岩馆攀岩或者公司楼下玩滑板或者射箭
22:00 运动结束回家
23:00 洗澡乱七八糟结束瘫在床上，看看论坛技术书
0:00 准时关灯睡觉
以上就是老婆不在身边的码农的一天"
277,"我发现过得比较充实和有计划性的都是在上学。。。
说真的，一直都不适应上班后这种漫无目的的感觉，每天都一样，每天也没有挑战性和新鲜感，所想的事情一件都没有实现，唯一的充实是加班做了一件困难的事。
7点30起床，8点出门，四十分钟到单位，泡咖啡吃早饭刷微博到九点半，做点手头的工作，一般十点半左右就做完了，除非很忙到十一点多也做完了，刷手机等吃饭，十二点吃完，办公室沙发躺着玩消消乐，一点钟睡觉，一点四十五起来，泡茶，看看邮件有没有新工作，有就做，没有就继续逛网页，逛到五点钟洗杯子下班。浑身充满了我又浪费了一天的细胞，精力值满格，心力值零格，于是带着这种虚度感去回家健身，八点半健身完，感觉有了一点活力，回来洗澡葛优躺，然后看几集最爱的情景喜剧，想象一下充满希望和乐趣的日子，睡觉，知道上述的一天又将到来。
明天和今天也没什么不同。"
278,"6:45起床，7:15出门吃早餐，7:40到教室，8:00-12:00上课，12:10吃饭，14:00上课，下午没课了就去自习，晚上一个人吃饭，回宿舍，洗衣服，看电影。
不想谈恋爱，很满足现在"
279,八点起床，洗漱整理房间，看会书吃早饭，九点出门上班，然后六点下班，七点健身或踢球跑步，九点陪女友看电视一起玩耍，十点半躺床上看会书耍耍手机，十一点半睡觉。
280,"嗯 住宿狗
一个文科班的小高二 来分享一下自己的日常
6.10 起床（教官会吹下哨子，起不起随你）
6.30 边啃早餐边背书（效率不咋地，让自己好受点）
7.00 早读
上课
上课。。。。
然后就有课间啦
课间就偷窥一下男神
和各位逗比们糊侃
12.00 人生大事――吃饭
13.00 睡觉（觉得自己午休时候好颓）
14.00 开始下午的课程
17.00回宿舍洗白白
减肥中 吃点水果就把晚餐对付过去了
18.00 回课室自习（我们学校7点开始晚修）
然后就在不停奋战题海了
困了就睡五分钟
五分钟后同桌会准时叫醒我 哈哈
22.00放学啦！可我一直坚持留下来，为了自己不那么浮躁
22.20 准备回宿舍，其实说做完作业是骗人的，要背的书都没啥时间背
高中啊
累，但不迷茫
只要一直在前行，就够了
华政啊
你要等着我呀，我会一直努力走向你
各位前辈或者同道人
如果不嫌弃，就请指点下关于我学习方法的建议
谢谢

最后 分享一张学校美景"
281,"睡。
醒。
上个厕所。
再睡。。
_(:зゝ∠)_"
282,"“我想问问你们每天的作息时间表是什么样的啊”

先自我介绍一下噢，01年，18岁，一枚典型der射手座，现在读大一，药学专业，成绩一般，这次期末考了专业前百分之三十，但只是靠考前突击得来的，我认为这种突击模式的学习并不算真真的学习，毕竟不是平时踏踏实实积累的。
大一一个学期过的还算充实，但也不少有觉得忙碌却并不充实的时候。最有意义的事情就是大学当上了班长，虽然现在做的还不够好，但我的工作是让自己问心无愧的（当然需要改进的地方还有很多），目标是努力做一个被同学们认可的班长。
兴趣：轮滑爱好者，有写每日计划的习惯，定期复盘，以及热爱学习（这个学习指的是学习一切新鲜事物）
附一张昨天的任务打卡截图
先分享一下我这段时间没课的时候的每日状态
早上
️七点半起床
️八点开始学习【完成学习任务里最困难的一项 时长 大概1-2h】
️如果还没到吃饭的时间 可能会写会日记，看会书
️吃完午饭 走一会路玩会手机放松放松

午睡半小时（但其实每次都睡过头...）
进入下午（一般是下午三点了... ）
完成一个较为困难的学习任务 时长1-2h
看书半小时 最近找姐姐借了一本《简·爱》
处理班上的一些问题
等待晚饭 ，如果没事干会玩会手机，最近准备重温 一遍火影（我是鸣人粉 ）

吃完晚饭 散步（在家里走走逛逛...仅此而已！）这时候的天总是会让我忍不住去拍照 ，真的很美鸭
晚上
洗澡护肤
开始记单词（a4纸记单词法挺好用的）
其实晚上...我就开始想刷手机了，效率一直很低...就很不想学习...
睡前会花20min做一些拉伸运动 现在是在做【周六野+李知恩女团腿】 都说女团腿拉伸很有效 好多人小腿都瘦了，但我坚持了一个星期，今天第七天....总觉得自己腿更粗了？.....希望是错觉 如果真的粗了那我心态就崩了鸭 做过女团腿的宝儿应该知道....真的..很痛！！ 你们有没有肌肉腿瘦腿方法呀（小声bobo...）
涂身体乳
睡前会听一些钢琴曲（网易云定时关闭）手机锁屏 安心听着音乐真的能让我很快入睡诶

其实真正在学习上花的时间不是很多，挺不满意的，以及学习效率不是很高，优秀的人太多了，而我太普通了，他们有一个共同点 就是都有惊人的执行力，一个小时前的想法 他们会马上去落实，而我可能则是一拖再拖，时间的成本真的很可怕，我想成为别人成为不了的女孩子，继续加油8

一直想仔细思考一下我的优势在于什么，缺点在于什么，该如何改进，但拖到了现在一直没有静下心来思考，希望明天可以好好试试

感谢你能花一分钟左右的时间看到最后，这是对我最大的鼓励，毕竟是我第一次在这上面发这种小长文鸭～
欢迎来留言噢，不知道我写的够不够清楚，以及你们看起来会不会吃力 鸭
一张晒太阳的照片，希望看到这里的你天天都能开心"
283,"7.50起床 转眼珠子 拉伸 喝水 上厕所 洗漱
8.30上班打卡
10点吃早饭
1.30下班偶尔值班到2点
4点吃午饭，中途休息三个小时多一点
4.40打卡上班
晚上9点下班 回家9.20 玩会手机10.30左右睡觉
休息天 早上7.30起床 做早餐去健身房
10.45买菜洗衣服
2点去网吧上网，玩到凌晨四五点偶尔通宵"
